name,sku,status,quantity,my_price_cad,official_price_usd,official_url,image_url,source_column_1,source_column_12,source_column_2,source_title,source_price,source_plus_gst,source_sell_price,source_35_percent,source_profit,source_profit_percent,source_status,source_type,source_summary_status,source_summary_value,source_summary_count,source_summary_total,source_extra
Amuseables Peach Bag Charm,APEACH4BC,Not in stock,0,65.00,33.00,https://us.jellycat.com/amuseables-peach-bag-charm/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Peach+Bag+Charm&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Peach Bag Charm,Jellycat Amuseables Peach Bag Charm,45.00,47.25,65.00,65.00,17.75,37.57%,,,,,,,
Amuseables Peanut,A6PE,Keep,2,55.00,23.00,https://us.jellycat.com/amuseables-peanut/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Peanut&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Peanut,Jellycat Amuseables Peanut,32.00,33.60,55.00,45.00,21.40,63.69%,,,,,,,
Amuseables Peanut Bag Charm,APN4BC,In stock,1,50.00,28.00,https://us.jellycat.com/amuseables-peanut-bag-charm/,https://i0.wp.com/spencerthorn.com/wp-content/uploads/2024/10/APN4BC__73766.jpg?fit=1000%2C1000&ssl=1,Jellycat ,,Peanut Keychain,Jellycat Peanut Keychain,38.00,39.90,50.00,55.00,10.10,25.31%,2-In stock,Keychain,,,,,
Amuseables Peanut Space Rodeo Outfit,,Not in stock,0,65.00,33.00,https://us.jellycat.com/amuseables-peanut-space-rodeo-outfit/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Peanut+Space+Rodeo+Outfit&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Peanut Space Rodeo Outfit,Jellycat Amuseables Peanut Space Rodeo Outfit,45.00,47.25,65.00,65.00,17.75,37.57%,,,,,,,
Amuseables Peanut Star Student Outfit,,Not in stock,0,65.00,30.00,https://us.jellycat.com/amuseables-peanut-star-student-outfit/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Peanut+Star+Student+Outfit&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Peanut Star Student Outfit,Jellycat Amuseables Peanut Star Student Outfit,42.00,44.10,65.00,60.00,20.90,47.39%,,,,,,,
Amuseables Peanut Yeti Outfit,,Not in stock,0,65.00,,https://us.jellycat.com/search.php?search_query=Amuseables+Peanut+Yeti+Outfit,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Peanut+Yeti+Outfit&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Peanut Yeti Outfit,Jellycat Amuseables Peanut Yeti Outfit,42.00,44.10,65.00,60.00,20.90,47.39%,,,,,,,
Amuseables Pebble,,Not in stock,0,60.00,28.00,https://us.jellycat.com/amuseables-pebble/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Pebble&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Pebble,Jellycat Amuseables Pebble,38.00,39.90,60.00,55.00,20.10,50.38%,,,,,,,
Amuseables Pencil,,Not in stock,0,70.00,33.00,https://us.jellycat.com/amuseables-pencil/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Pencil&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Pencil,Jellycat Amuseables Pencil,46.00,48.30,70.00,60.00,21.70,44.93%,0-Karen,Karen-3,,,,,
Amuseables Philippe Palmier,A6PAL,Not in stock,0,60.00,28.00,https://us.jellycat.com/amuseables-philippe-palmier/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Philippe+Palmier&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Philippe Palmier,Jellycat Amuseables Philippe Palmier,38.00,39.90,60.00,55.00,20.10,50.38%,,,,,,,
Amuseables Pickle,,Not in stock,0,60.00,28.00,https://us.jellycat.com/amuseables-pickle/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Pickle&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Pickle,Jellycat Amuseables Pickle,38.00,39.90,60.00,55.00,20.10,50.38%,,,,,,,
